iter	Passed	Remaining
0	148	148340
1	151	75533
2	152	50697
3	153	38255
4	154	30791
5	155	25809
6	156	22264
7	158	19598
8	159	17518
9	160	15852
10	161	14487
11	162	13353
12	163	12435
13	165	11654
14	167	10970
15	168	10354
16	169	9820
17	171	9335
18	172	8889
19	173	8488
20	174	8123
21	175	7793
22	176	7491
23	177	7221
24	178	6979
25	180	6768
26	181	6554
27	182	6349
28	183	6159
29	184	5981
30	186	5815
31	187	5658
32	188	5511
33	189	5372
34	190	5241
35	191	5117
36	192	5000
37	193	4894
38	195	4818
39	197	4736
40	198	4648
41	200	4565
42	201	4492
43	203	4416
44	204	4338
45	205	4261
46	206	4187
47	207	4117
48	208	4049
49	209	3989
50	213	3968
51	226	4127
52	229	4092
53	230	4040
54	231	3983
55	233	3932
56	234	3877
57	235	3823
58	236	3771
59	237	3719
60	238	3670
61	239	3623
62	240	3578
63	241	3539
64	243	3505
65	245	3467
66	246	3428
67	247	3388
68	248	3350
69	249	3313
70	250	3277
71	251	3242
72	252	3208
73	253	3174
74	255	3145
75	256	3116
76	257	3088
77	259	3065
78	260	3040
79	261	3012
80	263	2987
81	264	2963
82	265	2938
83	267	2915
84	268	2891
85	270	2869
86	271	2848
87	272	2827
88	274	2810
89	276	2793
90	277	2773
91	279	2754
92	280	2734
93	281	2716
94	283	2697
95	284	2679
96	285	2661
97	287	2643
98	288	2627
99	290	2613
100	292	2605
101	293	2588
102	295	2569
103	296	2551
104	297	2533
105	298	2515
106	299	2498
107	300	2482
108	301	2465
109	302	2449
110	303	2432
111	304	2416
112	306	2405
113	308	2394
114	309	2380
115	310	2369
116	312	2355
117	313	2340
118	314	2325
119	315	2313
120	317	2305
121	319	2298
122	321	2288
123	323	2281
124	324	2273
125	325	2261
126	327	2248
127	328	2235
128	329	2222
129	330	2212
130	331	2202
131	333	2192
132	334	2181
133	335	2170
134	337	2164
135	339	2156
136	340	2146
137	341	2135
138	342	2123
139	343	2112
140	345	2107
141	347	2097
142	348	2086
143	349	2076
144	350	2065
145	351	2055
146	352	2045
147	354	2038
148	355	2029
149	356	2019
150	357	2009
151	358	2000
152	359	1992
153	361	1984
154	362	1975
155	363	1965
156	364	1956
157	365	1947
158	366	1940
159	367	1931
160	369	1927
161	371	1919
162	372	1911
163	373	1903
164	374	1894
165	375	1887
166	376	1879
167	377	1871
168	378	1863
169	380	1855
170	381	1847
171	382	1840
172	383	1832
173	385	1829
174	386	1822
